City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2021-08-08 16:53:25,-33.9258,18.4232,59.41,80,75,5.01
1,Yellowknife,CA,2021-08-08 16:58:43,62.456,-114.3525,50.52,57,75,8.05
2,San Carlos,VE,2021-08-08 16:58:44,9.6612,-68.5827,88.88,58,37,1.54
3,Saint-Philippe,RE,2021-08-08 16:58:17,-21.3585,55.7679,69.39,83,33,8.63
4,Busselton,AU,2021-08-08 16:58:44,-33.65,115.3333,56.08,85,38,23.55
5,Albany,US,2021-08-08 16:55:29,42.6001,-73.9662,84.61,65,91,2.53
6,Kapaa,US,2021-08-08 16:58:41,22.0752,-159.319,73.38,79,42,3.0
7,Yarada,IN,2021-08-08 16:58:45,17.65,83.2667,86.32,84,40,5.75
8,Lufilufi,WS,2021-08-08 16:58:45,-13.8745,-171.5986,74.98,78,92,14.58
9,Jamestown,US,2021-08-08 16:58:10,42.097,-79.2353,82.09,65,46,1.99
10,Nampula,MZ,2021-08-08 16:58:46,-15.1165,39.2666,75.15,53,40,12.66
11,Tuktoyaktuk,CA,2021-08-08 16:53:15,69.4541,-133.0374,46.4,87,90,12.66
12,Keflavik,IS,2021-08-08 16:58:46,64.0049,-22.5624,65.52,63,0,16.11
13,Kaitangata,NZ,2021-08-08 16:58:07,-46.2817,169.8464,36.09,90,82,8.19
14,Barrow,US,2021-08-08 16:58:12,71.2906,-156.7887,33.8,93,100,10.07
15,Lompoc,US,2021-08-08 16:58:47,34.6391,-120.4579,75.22,94,90,0.0
16,Kalmunai,LK,2021-08-08 16:58:47,7.4167,81.8167,80.89,80,91,2.75
17,Mataura,NZ,2021-08-08 16:58:33,-46.1927,168.8643,35.47,99,99,3.6
18,Rikitea,PF,2021-08-08 16:58:04,-23.1203,-134.9692,74.44,74,38,11.54
19,Nikolskoye,RU,2021-08-08 16:55:09,59.7035,30.7861,71.49,89,99,3.22
20,Sovetskaya Gavan,RU,2021-08-08 16:58:48,48.9723,140.2878,53.28,86,100,8.75
21,Mayumba,GA,2021-08-08 16:58:48,-3.432,10.6554,73.38,80,99,5.82
22,Souillac,MU,2021-08-08 16:55:37,-20.5167,57.5167,69.37,100,75,5.75
23,Hilo,US,2021-08-08 16:58:45,19.7297,-155.09,71.8,91,61,3.0
24,Takhli,TH,2021-08-08 16:58:49,15.2634,100.3438,83.03,67,100,4.16
25,Bredasdorp,ZA,2021-08-08 16:58:07,-34.5322,20.0403,60.28,55,100,18.41
26,Hobart,AU,2021-08-08 16:54:34,-42.8794,147.3294,44.46,84,10,4.0
27,Mogadouro,PT,2021-08-08 16:58:50,41.3403,-6.7119,81.79,17,0,8.32
28,Coahuayana,MX,2021-08-08 16:58:50,18.7333,-103.6833,87.28,56,85,1.92
29,Codrington,AU,2021-08-08 16:54:52,-38.2667,141.9667,45.75,75,85,9.4
30,Ushuaia,AR,2021-08-08 16:54:39,-54.8,-68.3,42.46,61,75,12.66
31,Bambous Virieux,MU,2021-08-08 16:55:09,-20.3428,57.7575,69.22,100,75,5.75
32,Butaritari,KI,2021-08-08 16:58:10,3.0707,172.7902,82.65,65,14,11.7
33,Saint George,US,2021-08-08 16:58:19,37.1041,-113.5841,95.54,20,0,3.36
34,Kavieng,PG,2021-08-08 16:54:44,-2.5744,150.7967,81.0,76,90,10.07
35,Padang,ID,2021-08-08 16:58:14,-0.9492,100.3543,78.48,87,81,3.85
36,Iqaluit,CA,2021-08-08 16:55:10,63.7506,-68.5145,42.53,93,90,6.91
37,Cidreira,BR,2021-08-08 16:58:52,-30.1811,-50.2056,66.72,72,3,8.55
38,Atuona,PF,2021-08-08 16:58:12,-9.8,-139.0333,77.22,81,86,18.41
39,Kupang,ID,2021-08-08 16:58:52,-10.1667,123.5833,74.16,76,10,9.95
40,Leningradskiy,RU,2021-08-08 16:55:42,69.3833,178.4167,36.43,83,59,15.17
41,Amahai,ID,2021-08-08 16:58:53,-3.3333,128.9167,76.12,88,99,2.62
42,Uvalde,US,2021-08-08 16:58:51,29.3669,-99.767,87.19,71,75,8.05
43,Moranbah,AU,2021-08-08 16:58:53,-22.0016,148.0466,53.98,96,3,9.57
44,Hermanus,ZA,2021-08-08 16:58:32,-34.4187,19.2345,60.8,72,100,25.08
45,Izumo,JP,2021-08-08 16:58:54,35.3667,132.7667,80.55,96,100,20.87
46,Grindavik,IS,2021-08-08 16:58:54,63.8424,-22.4338,64.56,63,0,16.11
47,Westerland,DE,2021-08-08 16:58:54,54.9079,8.3033,66.22,68,40,19.57
48,Esik,KZ,2021-08-08 16:58:55,43.3552,77.4525,78.22,33,58,9.73
49,Mujiayingzi,CN,2021-08-08 16:58:55,42.1167,118.7833,71.35,67,100,3.96
50,Zaozhuang,CN,2021-08-08 16:58:56,34.8647,117.5542,74.75,70,86,2.28
51,Kargasok,RU,2021-08-08 16:55:40,59.0556,80.8572,64.62,72,64,3.02
52,Male,MV,2021-08-08 16:58:56,4.1748,73.5089,84.15,79,75,16.11
